meta-configNo;meta-seed;fs-TCAlgo;fs-TCParamK;fs-TCParamA;fs-WOpt;fs-TCint;fc-MobSpeed;fc-Scenario;fc-DatacollectionProbability;fc-WorldSize;fc-NodeCount;fc-EdgeCount;fc-TopologyDensity;m-EMean;m-EMedian;m-EStddev;m-EJain;m-DropRate;m-EndToEndDropRate;m-EndToEndLatency;m-TopologyStorageSpanner;m-TopologyDensitySpanner;m-HopSpannerMean;m-HopSpannerMax
4;4;MAXPOWER_TC;NaN;NaN;0.00;1.0;0.000;DATACOLLECTION;1.00;300;100;4158;83.2;47499132.10;17077650.25;74907063.43;0.29;0.7724;0.8747;11582.2397;1.00;1.00;1.00;1.00
1;1;MAXPOWER_TC;NaN;NaN;0.00;1.0;0.000;DATACOLLECTION;1.00;300;100;3926;78.5;46712634.26;13639987.35;74509001.43;0.28;0.7619;0.8814;11661.8300;1.00;1.00;1.00;1.00
2;2;MAXPOWER_TC;NaN;NaN;0.00;1.0;0.000;DATACOLLECTION;1.00;300;100;4018;80.4;44487621.23;12181060.86;81081123.37;0.23;0.6837;0.8250;11853.0808;1.00;1.00;1.00;1.00
3;3;MAXPOWER_TC;NaN;NaN;0.00;1.0;0.000;DATACOLLECTION;1.00;300;100;3930;78.6;44669999.38;13074639.02;78833881.81;0.24;0.6819;0.8402;12175.9580;1.00;1.00;1.00;1.00
5;5;MAXPOWER_TC;NaN;NaN;0.00;1.0;0.000;DATACOLLECTION;1.00;300;100;4018;80.4;44578663.58;12832689.98;79945470.99;0.24;0.6416;0.8097;12227.9884;1.00;1.00;1.00;1.00
6;1;MAXPOWER_TC;NaN;NaN;0.00;0.5;0.500;DATACOLLECTION;1.00;300;100;4054;81.1;47724791.55;38282862.81;69598325.02;0.32;0.8412;0.8923;10869.6646;1.00;1.00;1.00;1.00
8;3;MAXPOWER_TC;NaN;NaN;0.00;0.5;0.500;DATACOLLECTION;1.00;300;100;3994;79.9;51299563.76;42437646.86;67333690.74;0.37;0.8759;0.9228;11008.1745;1.00;1.00;1.00;1.00
7;2;MAXPOWER_TC;NaN;NaN;0.00;0.5;0.500;DATACOLLECTION;1.00;300;100;4124;82.5;50445662.47;41932779.98;70266348.82;0.34;0.8786;0.9166;10919.4510;1.00;1.00;1.00;1.00
9;4;MAXPOWER_TC;NaN;NaN;0.00;0.5;0.500;DATACOLLECTION;1.00;300;100;4336;86.7;46692216.82;36927962.26;70016182.89;0.31;0.8245;0.8793;10847.6508;1.00;1.00;1.00;1.00
11;1;MAXPOWER_TC;NaN;NaN;0.00;1.0;0.500;DATACOLLECTION;1.00;300;100;4090;81.8;45287869.92;35019558.97;71024211.95;0.29;0.8057;0.8691;10885.7568;1.00;1.00;1.00;1.00
12;2;MAXPOWER_TC;NaN;NaN;0.00;1.0;0.500;DATACOLLECTION;1.00;300;100;4252;85.0;47851180.22;37925787.35;71261213.72;0.31;0.8452;0.8934;10864.9629;1.00;1.00;1.00;1.00
10;5;MAXPOWER_TC;NaN;NaN;0.00;0.5;0.500;DATACOLLECTION;1.00;300;100;4096;81.9;50727983.91;41054204.62;69445683.30;0.35;0.8764;0.9208;10994.5825;1.00;1.00;1.00;1.00
16;1;MAXPOWER_TC;NaN;NaN;0.00;2.0;0.500;DATACOLLECTION;1.00;300;100;4204;84.1;47121140.21;36552335.84;67272449.40;0.33;0.8177;0.8926;11075.0892;1.00;1.00;1.00;1.00
13;3;MAXPOWER_TC;NaN;NaN;0.00;1.0;0.500;DATACOLLECTION;1.00;300;100;4040;80.8;46181375.86;35683525.23;71036035.81;0.30;0.8256;0.8790;10826.0296;1.00;1.00;1.00;1.00
15;5;MAXPOWER_TC;NaN;NaN;0.00;1.0;0.500;DATACOLLECTION;1.00;300;100;4116;82.3;50319282.03;41277340.51;69789551.42;0.34;0.8772;0.9199;10984.2989;1.00;1.00;1.00;1.00
14;4;MAXPOWER_TC;NaN;NaN;0.00;1.0;0.500;DATACOLLECTION;1.00;300;100;4470;89.4;47415971.06;37347489.06;70834528.85;0.31;0.8391;0.8903;10862.2374;1.00;1.00;1.00;1.00
18;3;MAXPOWER_TC;NaN;NaN;0.00;2.0;0.500;DATACOLLECTION;1.00;300;100;4168;83.4;49293778.27;40162833.01;65141616.26;0.37;0.8626;0.9206;11061.9470;1.00;1.00;1.00;1.00
20;5;MAXPOWER_TC;NaN;NaN;0.00;2.0;0.500;DATACOLLECTION;1.00;300;100;4164;83.3;49959381.32;40263443.28;66578105.72;0.36;0.8649;0.9207;11048.6663;1.00;1.00;1.00;1.00
17;2;MAXPOWER_TC;NaN;NaN;0.00;2.0;0.500;DATACOLLECTION;1.00;300;100;4390;87.8;45548728.80;34724215.52;72159180.94;0.29;0.8055;0.8694;10876.8353;1.00;1.00;1.00;1.00
19;4;MAXPOWER_TC;NaN;NaN;0.00;2.0;0.500;DATACOLLECTION;1.00;300;100;4702;94.0;45705620.10;34339511.19;70512409.10;0.30;0.8056;0.8778;11014.1473;1.00;1.00;1.00;1.00
21;1;MAXPOWER_TC;NaN;NaN;0.00;0.5;1.500;DATACOLLECTION;1.00;300;100;4114;82.3;51519533.05;43131577.09;65047463.87;0.39;0.8774;0.9250;11009.1286;1.00;1.00;1.00;1.00
22;2;MAXPOWER_TC;NaN;NaN;0.00;0.5;1.500;DATACOLLECTION;1.00;300;100;4388;87.8;51540392.63;43416372.14;64962834.92;0.39;0.8757;0.9244;11005.5717;1.00;1.00;1.00;1.00
24;4;MAXPOWER_TC;NaN;NaN;0.00;0.5;1.500;DATACOLLECTION;1.00;300;100;4592;91.8;51408454.42;43049792.77;66197779.17;0.38;0.8784;0.9237;10992.7307;1.00;1.00;1.00;1.00
23;3;MAXPOWER_TC;NaN;NaN;0.00;0.5;1.500;DATACOLLECTION;1.00;300;100;4140;82.8;51386032.09;43541524.52;66782496.03;0.37;0.8773;0.9229;10982.1784;1.00;1.00;1.00;1.00
26;1;MAXPOWER_TC;NaN;NaN;0.00;1.0;1.500;DATACOLLECTION;1.00;300;100;4396;87.9;50798115.15;42057053.84;60342153.87;0.42;0.8603;0.9264;11148.1003;1.00;1.00;1.00;1.00
28;3;MAXPOWER_TC;NaN;NaN;0.00;1.0;1.500;DATACOLLECTION;1.00;300;100;4210;84.2;51555646.74;42338419.07;61901185.30;0.41;0.8595;0.9251;11114.3409;1.00;1.00;1.00;1.00
27;2;MAXPOWER_TC;NaN;NaN;0.00;1.0;1.500;DATACOLLECTION;1.00;300;100;4474;89.5;44965274.51;34012779.04;65601637.54;0.32;0.7586;0.8568;11178.8784;1.00;1.00;1.00;1.00
25;5;MAXPOWER_TC;NaN;NaN;0.00;0.5;1.500;DATACOLLECTION;1.00;300;100;4150;83.0;49011026.54;40675378.30;67005853.91;0.35;0.8499;0.9017;10919.4073;1.00;1.00;1.00;1.00
29;4;MAXPOWER_TC;NaN;NaN;0.00;1.0;1.500;DATACOLLECTION;1.00;300;100;4930;98.6;50847834.40;41801059.66;62227886.08;0.40;0.8627;0.9251;11107.0630;1.00;1.00;1.00;1.00
31;1;MAXPOWER_TC;NaN;NaN;0.00;2.0;1.500;DATACOLLECTION;1.00;300;100;4632;92.6;49361448.46;38695431.64;61059274.92;0.40;0.8474;0.9245;11239.0311;1.00;1.00;1.00;1.00
30;5;MAXPOWER_TC;NaN;NaN;0.00;1.0;1.500;DATACOLLECTION;1.00;300;100;4404;88.1;48749809.74;39097592.72;64131747.50;0.37;0.8303;0.9017;11079.5216;1.00;1.00;1.00;1.00
33;3;MAXPOWER_TC;NaN;NaN;0.00;2.0;1.500;DATACOLLECTION;1.00;300;100;4596;91.9;48352612.73;36249775.24;63858542.09;0.37;0.8298;0.9098;11203.9827;1.00;1.00;1.00;1.00
34;4;MAXPOWER_TC;NaN;NaN;0.00;2.0;1.500;DATACOLLECTION;1.00;300;100;4928;98.6;49637108.82;38751771.78;62986844.30;0.39;0.8581;0.9231;11123.5343;1.00;1.00;1.00;1.00
32;2;MAXPOWER_TC;NaN;NaN;0.00;2.0;1.500;DATACOLLECTION;1.00;300;100;5050;101.0;45109164.98;32077898.79;69664184.32;0.30;0.7451;0.8586;11468.7423;1.00;1.00;1.00;1.00
35;5;MAXPOWER_TC;NaN;NaN;0.00;2.0;1.500;DATACOLLECTION;1.00;300;100;4634;92.7;44378116.50;32116325.62;70788840.29;0.28;0.7341;0.8474;11385.1726;1.00;1.00;1.00;1.00
36;1;D_KTC;1.00;NaN;0.00;1.0;0.000;DATACOLLECTION;1.00;300;100;3926;78.5;40984269.49;23560788.57;18459354.45;0.83;0.2631;0.9090;26876.6484;0.08;0.06;14.00;5.20
38;3;D_KTC;1.00;NaN;0.00;1.0;0.000;DATACOLLECTION;1.00;300;100;3930;78.6;45225876.84;25417822.02;21299054.32;0.82;0.2774;0.9129;28163.7705;0.08;0.06;12.00;4.68
37;2;D_KTC;1.00;NaN;0.00;1.0;0.000;DATACOLLECTION;1.00;300;100;4018;80.4;49123894.27;29781374.30;20252910.01;0.86;0.2820;0.9121;29698.5792;0.08;0.06;20.00;5.46
39;4;D_KTC;1.00;NaN;0.00;1.0;0.000;DATACOLLECTION;1.00;300;100;4158;83.2;44995300.67;25177731.73;20398818.62;0.83;0.2746;0.9118;27784.6001;0.08;0.06;11.00;4.81
40;5;D_KTC;1.00;NaN;0.00;1.0;0.000;DATACOLLECTION;1.00;300;100;4018;80.4;43594828.01;22882915.96;20210101.31;0.82;0.2741;0.9257;25190.1670;0.08;0.06;13.00;5.20
41;1;D_KTC;1.00;NaN;0.00;0.5;0.500;DATACOLLECTION;1.00;300;100;4054;81.1;23957242.92;16814241.45;7534104.91;0.91;0.0994;0.9045;2637.9431;0.05;0.03;13.00;5.43
43;3;D_KTC;1.00;NaN;0.00;0.5;0.500;DATACOLLECTION;1.00;300;100;3994;79.9;15616761.87;10633445.80;6220301.67;0.86;0.0448;0.9148;1195.8916;0.05;0.03;16.00;5.40
44;4;D_KTC;1.00;NaN;0.00;0.5;0.500;DATACOLLECTION;1.00;300;100;4336;86.7;22587904.29;17729759.21;7173059.45;0.91;0.1135;0.9250;1964.1934;0.05;0.03;13.00;5.19
42;2;D_KTC;1.00;NaN;0.00;0.5;0.500;DATACOLLECTION;1.00;300;100;4124;82.5;15767151.66;11064846.33;6801279.27;0.84;0.0383;0.9083;1473.5645;0.04;0.03;11.00;4.90
46;1;D_KTC;1.00;NaN;0.00;1.0;0.500;DATACOLLECTION;1.00;300;100;4090;81.8;10141097.34;8725937.17;2324409.31;0.95;0.2414;0.9602;217.4844;0.04;0.02;17.00;5.38
47;2;D_KTC;1.00;NaN;0.00;1.0;0.500;DATACOLLECTION;1.00;300;100;4252;85.0;17158086.15;15416423.72;2425218.23;0.98;0.4541;0.9644;445.0859;0.04;0.02;13.00;5.13
48;3;D_KTC;1.00;NaN;0.00;1.0;0.500;DATACOLLECTION;1.00;300;100;4040;80.8;6791887.38;5831892.00;1835102.63;0.93;0.0000;0.9632;16.6735;0.04;0.02;17.00;5.68
49;4;D_KTC;1.00;NaN;0.00;1.0;0.500;DATACOLLECTION;1.00;300;100;4470;89.4;6895890.00;5831892.00;1913436.35;0.93;0.0000;0.9610;22.0264;0.04;0.02;12.00;5.12
51;1;D_KTC;1.00;NaN;0.00;2.0;0.500;DATACOLLECTION;1.00;300;100;4204;84.1;18546297.61;15703822.20;3925944.30;0.96;0.4560;0.9702;3118.0609;0.04;0.02;13.00;4.85
45;5;D_KTC;1.00;NaN;0.00;0.5;0.500;DATACOLLECTION;1.00;300;100;4096;81.9;20376610.91;15431732.79;6539416.63;0.91;0.0978;0.9190;2260.6163;0.05;0.03;17.00;5.35
54;4;D_KTC;1.00;NaN;0.00;2.0;0.500;DATACOLLECTION;1.00;300;100;4702;94.0;8807099.93;7809509.41;1571480.56;0.97;0.3169;0.9750;115.6390;0.04;0.02;13.00;4.92
52;2;D_KTC;1.00;NaN;0.00;2.0;0.500;DATACOLLECTION;1.00;300;100;4390;87.8;24568464.41;20342807.56;7589352.48;0.91;0.6670;0.9653;4772.4518;0.04;0.02;12.00;4.97
53;3;D_KTC;1.00;NaN;0.00;2.0;0.500;DATACOLLECTION;1.00;300;100;4168;83.4;24420685.04;19527397.70;7964080.50;0.90;0.5331;0.9709;5729.6950;0.03;0.01;12.00;5.15
50;5;D_KTC;1.00;NaN;0.00;1.0;0.500;DATACOLLECTION;1.00;300;100;4116;82.3;6524373.71;5831892.00;1541892.58;0.95;0.0000;0.9671;3.9119;0.04;0.02;13.00;5.47
55;5;D_KTC;1.00;NaN;0.00;2.0;0.500;DATACOLLECTION;1.00;300;100;4164;83.3;8849354.87;7660327.26;1631365.39;0.97;0.2556;0.9708;83.8172;0.04;0.02;15.00;5.38
56;1;D_KTC;1.00;NaN;0.00;0.5;1.500;DATACOLLECTION;1.00;300;100;4114;82.3;12090544.28;11157327.72;1819468.00;0.98;0.5442;0.9722;128.5332;0.03;0.02;12.00;4.93
58;3;D_KTC;1.00;NaN;0.00;0.5;1.500;DATACOLLECTION;1.00;300;100;4140;82.8;14236629.65;12700001.77;2187556.10;0.98;0.5312;0.9719;136.4737;0.03;0.01;13.00;5.27
57;2;D_KTC;1.00;NaN;0.00;0.5;1.500;DATACOLLECTION;1.00;300;100;4388;87.8;23031557.37;20738816.03;3331250.66;0.98;0.5955;0.9741;1381.4162;0.03;0.02;13.00;5.13
59;4;D_KTC;1.00;NaN;0.00;0.5;1.500;DATACOLLECTION;1.00;300;100;4592;91.8;6595473.79;6045666.24;1599436.50;0.94;0.0000;0.9675;1.1620;0.04;0.02;11.00;5.08
61;1;D_KTC;1.00;NaN;0.00;1.0;1.500;DATACOLLECTION;1.00;300;100;4396;87.9;30451808.95;25883818.56;6182223.39;0.96;0.4603;0.9654;6788.6931;0.03;0.01;11.00;5.20
62;2;D_KTC;1.00;NaN;0.00;1.0;1.500;DATACOLLECTION;1.00;300;100;4474;89.5;35381887.52;29397330.68;8534792.57;0.95;0.5949;0.9753;8173.0410;0.04;0.02;11.00;4.94
63;3;D_KTC;1.00;NaN;0.00;1.0;1.500;DATACOLLECTION;1.00;300;100;4210;84.2;36820753.69;32081217.83;8389577.53;0.95;0.7503;0.9808;2812.3639;0.03;0.01;14.00;5.59
64;4;D_KTC;1.00;NaN;0.00;1.0;1.500;DATACOLLECTION;1.00;300;100;4930;98.6;6404460.17;5831892.00;1515156.79;0.95;0.0000;0.9701;0.9713;0.03;0.01;13.00;5.38
65;5;D_KTC;1.00;NaN;0.00;1.0;1.500;DATACOLLECTION;1.00;300;100;4404;88.1;6301446.18;5831892.00;1318687.99;0.96;0.0000;0.9732;0.1659;0.03;0.01;11.00;5.13
66;1;D_KTC;1.00;NaN;0.00;2.0;1.500;DATACOLLECTION;1.00;300;100;4632;92.6;38517628.88;34029366.89;7009713.34;0.97;0.5076;0.9523;8427.2073;0.05;0.02;15.00;5.00
68;3;D_KTC;1.00;NaN;0.00;2.0;1.500;DATACOLLECTION;1.00;300;100;4596;91.9;54066994.73;46575305.36;12493612.46;0.95;0.6007;0.9690;8698.4438;0.05;0.03;15.00;5.07
67;2;D_KTC;1.00;NaN;0.00;2.0;1.500;DATACOLLECTION;1.00;300;100;5050;101.0;39026949.67;30167498.59;13525713.89;0.89;0.4759;0.9538;9088.2455;0.05;0.03;16.00;5.49
69;4;D_KTC;1.00;NaN;0.00;2.0;1.500;DATACOLLECTION;1.00;300;100;4928;98.6;8900156.15;8027702.76;1490084.53;0.97;0.3038;0.9739;108.6024;0.04;0.02;13.00;5.63
70;5;D_KTC;1.00;NaN;0.00;2.0;1.500;DATACOLLECTION;1.00;300;100;4634;92.7;9130398.84;7831263.11;2001765.90;0.95;0.1837;0.9639;147.5538;0.04;0.02;12.00;5.25
60;5;D_KTC;1.00;NaN;0.00;0.5;1.500;DATACOLLECTION;1.00;300;100;4150;83.0;6569826.17;6046230.09;1626229.13;0.94;0.0000;0.9684;1.1436;0.03;0.02;15.00;5.61
71;1;D_KTC;1.41;NaN;0.00;1.0;0.000;DATACOLLECTION;1.00;300;100;3926;78.5;40756203.85;22796207.99;20051824.65;0.81;0.2598;0.8785;23236.1641;0.09;0.07;11.00;4.64
72;2;D_KTC;1.41;NaN;0.00;1.0;0.000;DATACOLLECTION;1.00;300;100;4018;80.4;44481765.72;25419527.33;19402377.82;0.84;0.2767;0.9113;29363.9321;0.09;0.07;12.00;4.40
73;3;D_KTC;1.41;NaN;0.00;1.0;0.000;DATACOLLECTION;1.00;300;100;3930;78.6;41659071.98;18652352.94;20400116.09;0.81;0.2780;0.9173;29821.8863;0.09;0.07;11.00;4.34
74;4;D_KTC;1.41;NaN;0.00;1.0;0.000;DATACOLLECTION;1.00;300;100;4158;83.2;44263373.27;25576675.63;20039757.35;0.83;0.2700;0.8844;26625.9914;0.09;0.07;10.00;4.38
75;5;D_KTC;1.41;NaN;0.00;1.0;0.000;DATACOLLECTION;1.00;300;100;4018;80.4;41882443.46;19142938.14;20431121.72;0.81;0.2685;0.8947;18466.9291;0.09;0.07;12.00;4.74
76;1;D_KTC;1.41;NaN;0.00;0.5;0.500;DATACOLLECTION;1.00;300;100;4054;81.1;39629800.61;33893659.51;8722708.82;0.95;0.1989;0.9060;7535.5379;0.05;0.04;12.00;4.67
78;3;D_KTC;1.41;NaN;0.00;0.5;0.500;DATACOLLECTION;1.00;300;100;3994;79.9;32564726.25;26248591.26;8960469.46;0.93;0.1390;0.8860;5378.1343;0.05;0.03;11.00;4.60
79;4;D_KTC;1.41;NaN;0.00;0.5;0.500;DATACOLLECTION;1.00;300;100;4336;86.7;33568425.12;27798044.04;7777233.34;0.95;0.1737;0.9021;6009.6485;0.05;0.03;11.00;4.49
77;2;D_KTC;1.41;NaN;0.00;0.5;0.500;DATACOLLECTION;1.00;300;100;4124;82.5;35051251.13;28188133.92;8652537.32;0.94;0.1556;0.8872;5560.2691;0.05;0.03;11.00;4.45
81;1;D_KTC;1.41;NaN;0.00;1.0;0.500;DATACOLLECTION;1.00;300;100;4090;81.8;13327655.22;9939373.22;4550880.10;0.90;0.1890;0.9439;856.9046;0.05;0.03;10.00;4.53
82;2;D_KTC;1.41;NaN;0.00;1.0;0.500;DATACOLLECTION;1.00;300;100;4252;85.0;18336940.77;14634372.35;4737672.59;0.94;0.3403;0.9494;1207.2847;0.04;0.02;13.00;4.40
83;3;D_KTC;1.41;NaN;0.00;1.0;0.500;DATACOLLECTION;1.00;300;100;4040;80.8;9820899.18;6526788.15;4074967.67;0.85;0.0210;0.9384;485.3532;0.04;0.02;12.00;5.09
84;4;D_KTC;1.41;NaN;0.00;1.0;0.500;DATACOLLECTION;1.00;300;100;4470;89.4;9320406.49;6982181.56;3944403.40;0.85;0.0289;0.9409;268.0037;0.04;0.02;11.00;4.38
80;5;D_KTC;1.41;NaN;0.00;0.5;0.500;DATACOLLECTION;1.00;300;100;4096;81.9;34665763.91;28289645.37;8668210.97;0.94;0.1774;0.8929;7100.0928;0.05;0.04;12.00;4.59
86;1;D_KTC;1.41;NaN;0.00;2.0;0.500;DATACOLLECTION;1.00;300;100;4204;84.1;23181551.79;19593705.31;5281614.25;0.95;0.5406;0.9617;794.5149;0.04;0.02;10.00;4.39
89;4;D_KTC;1.41;NaN;0.00;2.0;0.500;DATACOLLECTION;1.00;300;100;4702;94.0;9078803.27;8157836.20;1719756.37;0.97;0.2756;0.9682;77.8553;0.04;0.02;10.00;4.54
87;2;D_KTC;1.41;NaN;0.00;2.0;0.500;DATACOLLECTION;1.00;300;100;4390;87.8;28803994.08;22813576.60;8461052.09;0.92;0.5431;0.9557;5823.1348;0.04;0.02;10.00;4.46
85;5;D_KTC;1.41;NaN;0.00;1.0;0.500;DATACOLLECTION;1.00;300;100;4116;82.3;8955199.33;6355109.95;3530864.03;0.87;0.0281;0.9461;570.4461;0.04;0.03;11.00;4.71
88;3;D_KTC;1.41;NaN;0.00;2.0;0.500;DATACOLLECTION;1.00;300;100;4168;83.4;21793848.55;17450664.55;7981462.46;0.88;0.5537;0.9596;3729.2124;0.04;0.02;12.00;4.58
90;5;D_KTC;1.41;NaN;0.00;2.0;0.500;DATACOLLECTION;1.00;300;100;4164;83.3;8988920.45;7658698.03;1776917.68;0.96;0.2392;0.9679;77.8953;0.04;0.02;13.00;4.92
92;2;D_KTC;1.41;NaN;0.00;0.5;1.500;DATACOLLECTION;1.00;300;100;4388;87.8;27295571.16;24615667.28;3861677.89;0.98;0.6558;0.9691;564.9984;0.04;0.02;10.00;4.49
93;3;D_KTC;1.41;NaN;0.00;0.5;1.500;DATACOLLECTION;1.00;300;100;4140;82.8;12904364.62;11611808.17;2114930.93;0.97;0.4530;0.9625;184.3785;0.04;0.02;11.00;4.77
91;1;D_KTC;1.41;NaN;0.00;0.5;1.500;DATACOLLECTION;1.00;300;100;4114;82.3;12453830.18;11021264.90;1992754.29;0.98;0.4661;0.9638;160.3025;0.04;0.02;11.00;4.32
94;4;D_KTC;1.41;NaN;0.00;0.5;1.500;DATACOLLECTION;1.00;300;100;4592;91.8;7284625.81;6189122.01;2353252.66;0.91;0.0000;0.9533;13.5311;0.04;0.02;11.00;4.44
97;2;D_KTC;1.41;NaN;0.00;1.0;1.500;DATACOLLECTION;1.00;300;100;4474;89.5;35951550.94;29811227.85;8295675.68;0.95;0.6127;0.9724;7133.9537;0.04;0.02;9.00;4.51
96;1;D_KTC;1.41;NaN;0.00;1.0;1.500;DATACOLLECTION;1.00;300;100;4396;87.9;31352962.77;27175998.15;5709381.50;0.97;0.5404;0.9708;5895.7679;0.04;0.01;11.00;4.56
98;3;D_KTC;1.41;NaN;0.00;1.0;1.500;DATACOLLECTION;1.00;300;100;4210;84.2;39209819.35;32294264.53;9174133.94;0.95;0.6346;0.9732;5535.7154;0.04;0.02;11.00;4.89
101;1;D_KTC;1.41;NaN;0.00;2.0;1.500;DATACOLLECTION;1.00;300;100;4632;92.6;43717584.20;37520522.31;8076785.66;0.97;0.5290;0.9485;9431.4530;0.05;0.03;12.00;4.50
100;5;D_KTC;1.41;NaN;0.00;1.0;1.500;DATACOLLECTION;1.00;300;100;4404;88.1;6596476.89;5900600.86;1681600.12;0.94;0.0000;0.9648;1.6245;0.04;0.02;11.00;4.79
99;4;D_KTC;1.41;NaN;0.00;1.0;1.500;DATACOLLECTION;1.00;300;100;4930;98.6;6661392.93;5831892.00;1964631.70;0.92;0.0000;0.9613;4.4164;0.04;0.02;12.00;4.83
104;4;D_KTC;1.41;NaN;0.00;2.0;1.500;DATACOLLECTION;1.00;300;100;4928;98.6;9026877.60;7974251.48;1862049.21;0.96;0.2435;0.9647;94.9744;0.04;0.02;12.00;4.74
103;3;D_KTC;1.41;NaN;0.00;2.0;1.500;DATACOLLECTION;1.00;300;100;4596;91.9;56665408.26;49283777.16;11682091.00;0.96;0.7219;0.9833;8326.8678;0.05;0.03;12.00;4.50
102;2;D_KTC;1.41;NaN;0.00;2.0;1.500;DATACOLLECTION;1.00;300;100;5050;101.0;42926632.98;34691037.91;13370284.54;0.91;0.4878;0.9547;10880.5882;0.05;0.03;11.00;4.94
95;5;D_KTC;1.41;NaN;0.00;0.5;1.500;DATACOLLECTION;1.00;300;100;4150;83.0;7249676.68;6168484.69;2300985.10;0.91;0.0000;0.9562;25.3261;0.04;0.02;11.00;4.47
105;5;D_KTC;1.41;NaN;0.00;2.0;1.500;DATACOLLECTION;1.00;300;100;4634;92.7;10497460.33;8655314.92;3185587.48;0.92;0.1103;0.9472;280.7577;0.05;0.03;10.00;4.55
106;1;E_KTC;1.00;NaN;0.00;1.0;0.000;DATACOLLECTION;1.00;300;100;3926;78.5;39220946.40;14821959.61;30922014.16;0.62;0.2698;0.8146;10854.0072;0.14;0.12;6.00;2.32
107;2;E_KTC;1.00;NaN;0.00;1.0;0.000;DATACOLLECTION;1.00;300;100;4018;80.4;40004272.13;15952313.65;33056157.32;0.60;0.2553;0.7514;9535.5812;0.14;0.12;6.00;2.26
108;3;E_KTC;1.00;NaN;0.00;1.0;0.000;DATACOLLECTION;1.00;300;100;3930;78.6;42998194.81;19713038.41;29199191.86;0.69;0.3024;0.8460;14230.0978;0.14;0.12;6.00;2.23
109;4;E_KTC;1.00;NaN;0.00;1.0;0.000;DATACOLLECTION;1.00;300;100;4158;83.2;39792574.70;16113545.50;32490331.30;0.60;0.2680;0.8089;10349.7664;0.14;0.11;5.00;2.26
110;5;E_KTC;1.00;NaN;0.00;1.0;0.000;DATACOLLECTION;1.00;300;100;4018;80.4;41031677.97;15976519.90;29155925.98;0.67;0.2730;0.7718;13454.8885;0.13;0.11;6.00;2.30
111;1;E_KTC;1.00;NaN;0.00;0.5;0.500;DATACOLLECTION;1.00;300;100;4054;81.1;44663685.51;39784333.84;8341051.71;0.97;0.5487;0.9715;18090.6254;0.12;0.10;7.33;2.55
113;3;E_KTC;1.00;NaN;0.00;0.5;0.500;DATACOLLECTION;1.00;300;100;3994;79.9;44222847.82;41036607.73;5864990.42;0.98;0.5360;0.9761;17324.0835;0.12;0.10;7.84;2.62
114;4;E_KTC;1.00;NaN;0.00;0.5;0.500;DATACOLLECTION;1.00;300;100;4336;86.7;53265103.09;49678317.08;7235283.16;0.98;0.6033;0.9780;17618.3053;0.11;0.09;7.54;2.63
112;2;E_KTC;1.00;NaN;0.00;0.5;0.500;DATACOLLECTION;1.00;300;100;4124;82.5;49398649.21;47025272.56;5435464.03;0.99;0.6071;0.9797;16733.3560;0.11;0.09;7.46;2.65
116;1;E_KTC;1.00;NaN;0.00;1.0;0.500;DATACOLLECTION;1.00;300;100;4090;81.8;49658481.02;47596317.68;4057911.61;0.99;0.5282;0.9705;15965.3665;0.10;0.09;6.67;2.47
117;2;E_KTC;1.00;NaN;0.00;1.0;0.500;DATACOLLECTION;1.00;300;100;4252;85.0;43994485.21;40980009.65;5660513.99;0.98;0.5166;0.9767;17758.9214;0.10;0.08;7.14;2.53
118;3;E_KTC;1.00;NaN;0.00;1.0;0.500;DATACOLLECTION;1.00;300;100;4040;80.8;60529976.38;58340113.40;4366039.14;0.99;0.5225;0.9693;16461.3499;0.10;0.08;6.33;2.45
115;5;E_KTC;1.00;NaN;0.00;0.5;0.500;DATACOLLECTION;1.00;300;100;4096;81.9;66718047.48;62722047.29;7720553.28;0.99;0.5833;0.9744;17436.2503;0.11;0.10;7.79;2.61
119;4;E_KTC;1.00;NaN;0.00;1.0;0.500;DATACOLLECTION;1.00;300;100;4470;89.4;49033273.45;45116045.31;6122905.56;0.98;0.5021;0.9677;17826.6896;0.10;0.09;5.67;2.31
121;1;E_KTC;1.00;NaN;0.00;2.0;0.500;DATACOLLECTION;1.00;300;100;4204;84.1;37069706.71;34222003.93;4994043.03;0.98;0.4103;0.9634;13323.5999;0.10;0.08;7.00;2.35
120;5;E_KTC;1.00;NaN;0.00;1.0;0.500;DATACOLLECTION;1.00;300;100;4116;82.3;44243580.15;41488529.98;6840868.55;0.98;0.4766;0.9620;18091.3277;0.11;0.09;7.17;2.73
122;2;E_KTC;1.00;NaN;0.00;2.0;0.500;DATACOLLECTION;1.00;300;100;4390;87.8;41658679.91;37869112.81;6290232.48;0.98;0.3981;0.9443;12250.6773;0.09;0.07;5.00;2.26
123;3;E_KTC;1.00;NaN;0.00;2.0;0.500;DATACOLLECTION;1.00;300;100;4168;83.4;45360959.59;41314615.36;6269005.83;0.98;0.4843;0.9500;8518.0374;0.09;0.07;6.00;2.26
124;4;E_KTC;1.00;NaN;0.00;2.0;0.500;DATACOLLECTION;1.00;300;100;4702;94.0;42282703.63;38595779.69;7240782.01;0.97;0.3021;0.8834;8831.4048;0.09;0.07;6.00;2.26
